gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
RHBDL2,108.6018449,1.030217207,0.269374223,3.824483265,0.000131047,0.001066646
SUN2,1993.829416,1.029057352,0.209515361,4.911608137,9.03E-07,1.74E-05
FRMD4B,948.0158388,1.028358198,0.307521387,3.344021724,0.000825733,0.00474656
FAM201A,84.69470324,1.0282808,0.272718858,3.770479265,0.000162934,0.001277497
PAQR4,767.061233,1.028182246,0.208188961,4.938697227,7.86E-07,1.55E-05
FABP5,233.558245,1.027864086,0.176927789,5.809511861,6.27E-09,2.59E-07
OPALIN,3890.324217,1.025940808,0.314928269,3.257696781,0.001123204,0.006139551
C21orf91,1147.941943,1.025426786,0.327239794,3.133563839,0.001726973,0.008739139
GBP3,125.886109,1.025082408,0.268891633,3.812251038,0.000137707,0.00111189
NFKBIA,887.3214815,1.02497136,0.158082333,6.48378183,8.95E-11,7.14E-09
JPT2,373.0103426,1.022575319,0.265003567,3.85872285,0.000113981,0.000953718
CD22,260.3815817,1.022086681,0.415060901,2.462498101,0.01379729,0.046353444
GCAWKR,76.74950728,1.018469949,0.338982881,3.004487859,0.002660284,0.012364076
KIF13B,2103.222056,1.018466734,0.229736108,4.433202706,9.28E-06,0.000122064
FZD7,181.0658621,1.014773021,0.202541348,5.010201782,5.44E-07,1.13E-05
ATF3,125.6927457,1.014016626,0.295346835,3.43330791,0.000596265,0.003669537
MATN2,580.0073715,1.013443028,0.184734116,5.485954889,4.11E-08,1.27E-06
HPN,95.78224456,1.011366877,0.326389071,3.098654239,0.001944018,0.009599406
VANGL2,250.6274957,1.011164768,0.145051914,6.971054314,3.15E-12,4.32E-10
TMC7,362.1287512,1.010096002,0.282075328,3.580944169,0.000342355,0.002333173
BEST1,307.6805983,1.009415941,0.215494125,4.684192392,2.81E-06,4.54E-05
PCDHGB7,267.7407365,1.008574074,0.13562436,7.43652598,1.03E-13,2.28E-11
TFEB,364.2470308,1.008348438,0.24726274,4.078044427,4.54E-05,0.000453987
ITGAX,269.209949,1.007538666,0.20263636,4.972151427,6.62E-07,1.34E-05
PLIN3,405.779414,1.006996409,0.20030014,5.027437362,4.97E-07,1.05E-05
RFFL,241.6821074,1.004336979,0.246830298,4.068937199,4.72E-05,0.000467766
SEPTIN10,731.8174761,1.004207362,0.15837867,6.340546753,2.29E-10,1.58E-08
GDPD2,118.2678261,1.003284168,0.217952834,4.603216889,4.16E-06,6.29E-05
LGALS3BP,1307.810632,1.003163491,0.16713966,6.001947663,1.95E-09,9.60E-08
LINC01608,64.1438584,1.002773085,0.352382812,2.845692389,0.004431498,0.0186161
PHLDB1,2719.033993,1.000902486,0.268689656,3.725124745,0.000195219,0.001484326
PIP4K2A,5448.913466,1.000604915,0.290744342,3.441528421,0.000578438,0.003578126
TOB2,1165.668372,1.000270253,0.141931883,7.04753741,1.82E-12,2.69E-10
NA,62.12110692,3.897880507,0.52195024,7.467915924,8.15E-14,8.17E-10
TMEM215,62.07046221,2.206742648,0.368573669,5.987249859,2.13E-09,7.60E-06
FBLN2,96.94282441,0.981063871,0.200196816,4.900496885,9.56E-07,0.001362557
SEMA4A,299.1278645,0.778038002,0.159828594,4.867952476,1.13E-06,0.001530696
CIART,112.3181881,0.795170125,0.172098127,4.620446128,3.83E-06,0.004198377
GSE1,564.0307083,0.441084024,0.097845366,4.507970515,6.55E-06,0.006910379
CNTN6,138.0077669,0.594569298,0.135347297,4.392915952,1.12E-05,0.011386548
MMD2,122.7302442,0.731590332,0.169968719,4.304264554,1.68E-05,0.016469316
P2RY13,75.19146456,1.031782174,0.252505531,4.08617653,4.39E-05,0.03571847
MYLIP,213.0081275,0.36929983,0.093620598,3.944642935,7.99E-05,0.054894364
FREM2,198.0572383,0.469911435,0.119838379,3.921209886,8.81E-05,0.057082338
ANKRD6,518.0286893,0.348495532,0.089739526,3.883411772,0.000103001,0.063288363
B3GNT5,118.3008884,0.948496729,0.245783521,3.859073735,0.000113818,0.06434662
CD83,296.612074,0.762197527,0.202887001,3.75675881,0.000172128,0.087622498
TRIB1,216.0155302,0.871251856,0.231683283,3.76052966,0.000169554,0.087622498
SNORD17,203.0554215,5.33680727,0.802143773,5.406521149,6.43E-08,0.000451854
EMP1,199.7636812,4.984122282,0.771633676,5.163230176,2.43E-07,0.000974933
SEMA5A,920.3116789,5.497276426,0.920921735,4.883451283,1.04E-06,0.002712485
ACVR1C,199.3671679,5.082785323,0.858647916,4.754900405,1.99E-06,0.00316538
JUN,1023.495215,4.237543562,0.676356807,4.786739082,1.70E-06,0.00316538
PCSK1,93.08792359,4.30550346,0.702606376,4.704630604,2.54E-06,0.003829443
EXPH5,78.50931652,3.995958077,0.642119905,4.665729955,3.08E-06,0.004167403
NNAT,293.1398231,4.458297241,0.749914242,4.611590298,4.00E-06,0.005023067
PRKCG,437.9270094,5.474754684,0.979096383,4.570290281,4.87E-06,0.005304392
GNG4,226.8224603,5.664566217,1.057262095,4.411929871,1.02E-05,0.006611409
SYT12,63.9218162,5.175120329,0.945337175,4.416540934,1.00E-05,0.006611409
ECM2,52.08879398,4.051546289,0.697487893,4.375052701,1.21E-05,0.007000829
C1S,113.4023579,4.062955046,0.70670053,4.334162658,1.46E-05,0.007210185
TLL1,67.13183108,6.523483228,1.299687809,4.249853841,2.14E-05,0.009350974
BHLHE22,96.34292298,6.750400747,1.354789486,4.244497617,2.19E-05,0.00942512
C1QL3,224.0779724,4.223792103,0.770268019,4.185286193,2.85E-05,0.010574144
PALLD,371.2437561,3.554608157,0.615911222,4.147688931,3.36E-05,0.011669867
INHBA,67.88285088,3.301326423,0.557805303,4.125680432,3.70E-05,0.01240926
N4BP2,103.639676,2.464529225,0.357576812,4.095705243,4.21E-05,0.01288501
COLEC12,142.6660169,4.526339294,0.880405675,4.005357295,6.19E-05,0.014624671
MOB1B,355.1415661,3.137760721,0.535137695,3.994786277,6.48E-05,0.014872803
MPPED1,105.4137998,5.489952598,1.127633997,3.981746391,6.84E-05,0.015377263
CFAP54,69.86638984,3.767966343,0.703247084,3.935979836,8.29E-05,0.016884951
SLC47A1,64.35370845,3.538032431,0.648468023,3.91388988,9.08E-05,0.017837126
PTER,251.8306264,3.111505012,0.544524111,3.877707102,0.000105446,0.019441435
JAG1,116.5087048,3.346540539,0.606436611,3.869391289,0.000109107,0.019594948
DDR2,333.2283894,4.308315726,0.855820193,3.865666821,0.000110786,0.019754181
PARD3,235.7715522,3.165653269,0.56178987,3.854916907,0.000115769,0.020429038
SMAD9,206.9825006,3.159595546,0.560965564,3.849782739,0.000118223,0.020443473
TCEAL9,85.18954845,3.025263565,0.527497681,3.839379086,0.000123346,0.020764241
HSPA1B,806.2588418,3.667080593,0.700008712,3.810067714,0.000138929,0.022413009
FSTL1,181.6036881,3.53822351,0.668525825,3.796747134,0.000146607,0.023511804
CALCRL,88.07234235,4.053594044,0.806565095,3.785923867,0.000153139,0.024016252
NR4A1,320.3106398,3.663473816,0.703528381,3.785879702,0.000153166,0.024016252
P2RY12,210.2141275,3.300020754,0.606965884,3.789374025,0.000151027,0.024016252
C4A,64.82584948,4.130156396,0.828583171,3.777721424,0.00015827,0.024099158
CLIC4,869.4590624,3.770540526,0.741320422,3.737305008,0.000186003,0.02624173
VGF,145.1530797,5.049798864,1.088750663,3.719675222,0.000199479,0.027469614
DNAJB4,215.6675191,3.294056206,0.621582695,3.690669358,0.000223665,0.029427111
PLCE1,198.3449893,2.888249672,0.51215585,3.686865382,0.000227033,0.029583104
DNAI4,63.39987018,3.094216771,0.569099269,3.679879568,0.000233344,0.029615545
NRSN1,192.7610002,5.226364564,1.148604111,3.679565939,0.000233631,0.029615545
JAM2,275.9337615,3.216325043,0.602370314,3.679339756,0.000233839,0.029615545
CCDC3,138.8419741,3.849732294,0.776608801,3.669456603,0.000243067,0.030499231
PLEKHG1,173.3512189,2.909563214,0.521274575,3.663257918,0.000249028,0.030679064
GRAMD2B,403.5486496,3.297306571,0.627021811,3.663838371,0.000248464,0.030679064
SV2C,83.8109173,3.828627729,0.772809078,3.660189572,0.000252029,0.030786616
LTBP1,177.5441647,3.410247361,0.6616002,3.643057181,0.000269419,0.031886734
DDN,408.2508985,5.231520223,1.163691321,3.636290954,0.000276592,0.03259335
CAV1,51.60933114,3.469212424,0.680491869,3.628570061,0.000284995,0.033294098
HYCC1,285.9284316,2.927735398,0.531734362,3.625373,0.000288545,0.033420625
GPR34,164.1441127,3.061837043,0.569133102,3.622767744,0.000291468,0.033615506
LEPR,69.91769209,3.059775636,0.568977025,3.620138503,0.000294445,0.033660919
RTP5,173.0801564,3.18686887,0.60466761,3.61664629,0.000298445,0.033844126
RND2,95.08039997,3.670791226,0.738799834,3.615040374,0.000300301,0.033912721
SLC2A5,124.1326522,2.728840218,0.479371933,3.606469423,0.000310391,0.0346195
EGR3,410.6555853,4.559309893,0.988516108,3.600659477,0.000317411,0.035257345
MSRB3,114.1836876,2.416157556,0.393714443,3.596915436,0.000322013,0.035477729
CAB39L,218.1013753,2.829020314,0.510284494,3.584314894,0.000337964,0.03620491
SGCB,353.1457453,3.400794705,0.670466737,3.580781229,0.000342568,0.036553667
SCG2,334.096984,5.221791215,1.182057335,3.571562132,0.000354858,0.037240187
BTNL9,94.06379963,3.641470553,0.743750912,3.55155269,0.000382965,0.038442625
LPL,83.21582766,4.208180682,0.904221826,3.54800182,0.000388166,0.038620788
GOLIM4,507.4631892,3.473168919,0.698513696,3.540616218,0.000399194,0.03920054
BMPR1A,175.1497175,2.867677323,0.528952366,3.530898888,0.00041415,0.03980393
GPR85,59.64324831,4.047779654,0.863495632,3.529583175,0.000416215,0.039861029
NTN1,53.2911572,2.885827525,0.53546241,3.521867248,0.000428519,0.040222653
ABCC4,147.2551533,2.594523515,0.453248664,3.517988338,0.000434831,0.040222653
CNTN5,80.28296565,5.795755351,1.3620041,3.521101993,0.000429757,0.040222653
BARD1,70.68688228,2.502988062,0.428930437,3.50403686,0.000458262,0.041660141
FNDC3A,503.6581813,3.293695121,0.656352598,3.494608123,0.000474758,0.042634741
PLEKHH2,63.13313424,3.323662104,0.665624208,3.490951916,0.000481303,0.042634741
EPS8,154.1261316,3.714505986,0.778778378,3.485594956,0.000491044,0.042724455
PAX6,165.6133259,3.498516595,0.717373057,3.482869297,0.00049607,0.042740661
PCDH11X,66.20176572,5.255315859,1.223559504,3.47781685,0.000505515,0.043220752
ARHGAP12,304.4111718,3.340328246,0.673158401,3.476638253,0.000507742,0.043274659
LDLR,305.6706042,2.595982098,0.459178013,3.475737193,0.000509451,0.043284193
PARD3B,120.5642584,3.497151504,0.720846208,3.46419455,0.000531822,0.043949771
SLC19A2,56.14726852,2.920635166,0.555408877,3.458056302,0.000544088,0.044294201
GSTM3,243.1057115,2.733131454,0.501758925,3.454111861,0.000552108,0.044535095
GMFB,681.9747862,3.161193068,0.625602928,3.454576329,0.000551158,0.044535095
MYLK,533.7609427,2.702223284,0.49386131,3.446763798,0.000567344,0.044853613
BHLHE41,395.8865779,4.194435624,0.927927073,3.442550302,0.000576257,0.04486735
TWSG1,103.5678673,2.915946405,0.556512006,3.442776406,0.000575775,0.04486735
SLC30A1,215.2157011,2.951273789,0.567209948,3.440126175,0.000581443,0.04486735
CPED1,57.73364348,2.457593961,0.424762897,3.431547275,0.000600149,0.045819226
SCARNA7,586.8675114,2.989934383,0.580419514,3.428441556,0.000607057,0.046138272
SH3BGR,60.5611101,3.040293582,0.598318464,3.410046163,0.000649519,0.047707071
YES1,184.2802622,3.230439462,0.654397461,3.408386486,0.000653483,0.047797592
RHOBTB3,923.4523132,3.596361971,0.763067451,3.402532723,0.000667644,0.048512451
TTC8,60.5931716,2.94771403,0.573668356,3.395191679,0.000685806,0.049155611
NBEAL1,180.4700119,2.73887644,0.512742323,3.391326135,0.000695553,0.04922785
BAG3,305.7686161,2.844234516,0.543824154,3.391233184,0.000695789,0.04922785
SAMD4A,372.4647338,2.931764217,0.569974339,3.389212613,0.000700936,0.049344102
MAOB,505.9333152,4.479562044,1.027406203,3.386744244,0.000707273,0.049405198
CTTNBP2NL,185.9913028,3.206906222,0.65153959,3.387217377,0.000706054,0.049405198
IL6ST,1385.694656,3.080803842,0.614570726,3.385784182,0.000709752,0.049436033
NFIA,1329.370388,3.222717586,0.656742353,3.384459027,0.000713187,0.049436033
UACA,147.0692424,3.108696447,0.623614616,3.381409595,0.00072115,0.049481816
CFAP43,55.96315164,4.082243029,0.913189414,3.375250503,0.000737485,0.049909166
NHLRC2,209.5330822,2.976736775,0.586253872,3.371810181,0.000746759,0.050097545
ITPRID2,651.5920419,3.12560371,0.631684837,3.364975039,0.000765506,0.050727395
NRP2,209.5221776,3.695055777,0.802619417,3.357825288,0.000785582,0.051305162
ADGRA3,330.6943011,3.651508334,0.791115158,3.351608559,0.000803435,0.051600729
ZCCHC12,182.5610781,4.803481652,1.134188645,3.353482392,0.000798015,0.051600729
PLXNA4,568.3728493,3.774436631,0.827104001,3.354398753,0.000795377,0.051600729
OSMR,82.68275513,4.058427694,0.913126371,3.349402439,0.000809861,0.051778816
FLT1,184.6179432,3.364911311,0.706945385,3.345253197,0.000822075,0.052179614
PKP2,53.72991567,3.033787231,0.608119993,3.344384748,0.000824653,0.052220949
ELL2,506.9539785,3.022059043,0.607047014,3.330976013,0.000865421,0.053464122
C5orf24,185.1020204,2.849206579,0.555615639,3.328211894,0.000874054,0.053813508
CNN3,634.5634717,4.090863332,0.930052595,3.323321013,0.000889525,0.054276929
S100B,1072.87403,3.283199327,0.688291157,3.317199856,0.000909246,0.054400179
DPY19L3,354.9157617,2.799687789,0.542279049,3.318748516,0.000904218,0.054400179
MFAP3L,392.6336303,3.126317372,0.640838349,3.318024546,0.000906565,0.054400179
SOX6,210.1434027,2.585252749,0.478053748,3.316055474,0.000912977,0.054418854
LARP4,265.3803323,2.734110097,0.522972411,3.315873001,0.000913573,0.054418854
TMED7,221.2490222,2.874737288,0.56576697,3.313620955,0.000920963,0.054618928
PHLDA1,159.1414603,3.126378464,0.641902152,3.312620867,0.000924262,0.054694907
CD109,100.7125971,4.020337391,0.916019259,3.297242236,0.000976393,0.056923641
RAI14,74.99089895,3.436542882,0.739473414,3.294970224,0.000984321,0.057126455
SOCS6,188.6069482,3.883320993,0.875662912,3.292729376,0.000992199,0.057270601
PKIA,395.1272733,3.271227598,0.690785639,3.287890584,0.001009411,0.057839442
PDLIM3,77.25280686,4.179907938,0.969176487,3.281041151,0.001034247,0.058166891
PDE8B,255.340138,3.524581569,0.770541113,3.276374907,0.001051489,0.0585078
PAWR,106.5857056,1.839478231,0.256084475,3.278130114,0.001044972,0.0585078
CALD1,376.4397552,2.812215874,0.555342569,3.263239619,0.001101463,0.060240389
ARC,168.2325853,4.41901008,1.047814949,3.262990364,0.001102433,0.060240389
EDN1,61.50856299,3.162154873,0.664470648,3.253950916,0.001138119,0.061447113
PON2,456.8171473,3.358450832,0.725775908,3.249557897,0.001155845,0.062046653
CSRP2,61.80122181,2.489296915,0.458316102,3.249497256,0.001156092,0.062046653
PDGFC,57.00864311,2.82624644,0.562112201,3.248900196,0.001158521,0.062054149
TMEM106B,454.6764218,2.846842126,0.570139162,3.239283057,0.001198306,0.063063464
QKI,5145.35044,3.28433019,0.705713258,3.236909842,0.001208316,0.063222243
FN1,793.2572749,3.193661124,0.677984745,3.235561185,0.001214039,0.063222243
DPY19L4,125.3608165,2.906805526,0.589600432,3.234063988,0.001220421,0.063222243
IGF2,82.32406293,3.453744494,0.758890209,3.233332655,0.00122355,0.063222243
CDK17,414.7828965,2.907792841,0.590497138,3.230824874,0.001234335,0.063601127
ITGA7,287.9234638,3.590270245,0.802084274,3.229424051,0.001240398,0.063792245
PTGS2,78.67234481,3.074581404,0.643585699,3.223473437,0.00126646,0.064763919
GAB1,601.5634276,3.163043383,0.671642366,3.2205285,0.001279545,0.064928986
CEP112,80.23704614,3.499425601,0.776035508,3.220761903,0.001278503,0.064928986
SYNM,274.0038405,3.383437592,0.741855021,3.212807793,0.001314442,0.065972829
TWF1,168.3359362,3.068663863,0.644630284,3.209070245,0.00133165,0.066223298
FHL1,451.2607449,2.644037512,0.514148344,3.197593711,0.001385794,0.06683126
NR3C2,225.251938,2.760861201,0.550641296,3.197837167,0.001384624,0.06683126
STXBP6,263.688546,4.357013397,1.04949773,3.198685714,0.001380556,0.06683126
CCDC14,206.3435047,2.585490276,0.494999583,3.203013358,0.001359977,0.06683126
MTX3,152.4665991,3.229799623,0.696944461,3.199393563,0.00137717,0.06683126
SNORC,118.1544121,2.712183645,0.53462959,3.202560574,0.001362117,0.06683126
RAB30,484.688895,2.688435071,0.529919366,3.186211298,0.001441493,0.068093861
