gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
PDE4C,70.55763176,-1.538624187,0.198635758,-7.745957725,9.49E-15,2.77E-12
DSP,498.8478872,-1.55244749,0.363202822,-4.274326617,1.92E-05,0.000223738
EPB41L4B,1001.899403,-1.564631848,0.215166981,-7.271709804,3.55E-13,6.49E-11
OR14I1,68.93003503,-1.568104719,0.30411362,-5.156312027,2.52E-07,5.88E-06
CRABP2,62.95447742,-1.569965935,0.369263546,-4.251613652,2.12E-05,0.000243239
VSNL1,5192.122748,-1.574604453,0.215078847,-7.321056796,2.46E-13,4.72E-11
SOWAHB,174.7172748,-1.574887265,0.416242945,-3.783577081,0.00015459,0.001224203
C1orf115,1689.000358,-1.575226888,0.20644433,-7.630274428,2.34E-14,6.16E-12
HTR1E,52.38163497,-1.584631295,0.2481996,-6.384503833,1.72E-10,1.25E-08
KCNS2,160.4217091,-1.590133314,0.234979859,-6.767104713,1.31E-11,1.42E-09
RIMS3,4621.129158,-1.616733937,0.255242766,-6.334102873,2.39E-10,1.63E-08
CCK,1450.541716,-1.629356003,0.250018799,-6.516933969,7.18E-11,5.97E-09
FRMPD2B,69.36492955,-1.63312928,0.316616437,-5.158068525,2.50E-07,5.83E-06
CASQ1,120.2944777,-1.63711788,0.175712723,-9.317013871,1.20E-20,2.50E-17
RXFP1,302.1087291,-1.657721745,0.333325409,-4.973283462,6.58E-07,1.34E-05
TRABD2A,83.54909023,-1.661898382,0.239309633,-6.944552807,3.80E-12,5.03E-10
OGN,276.7300828,-1.686717223,0.375254874,-4.494857597,6.96E-06,9.69E-05
EPHX4,93.37770538,-1.694648851,0.216094867,-7.842152258,4.43E-15,1.51E-12
CALB1,257.2589458,-1.71529316,0.271811972,-6.310587242,2.78E-10,1.86E-08
CAMKK2,2393.211316,-1.717768625,0.16118924,-10.65684422,1.62E-26,2.53E-22
NECAB2,754.5030706,-1.719134066,0.257964209,-6.664234816,2.66E-11,2.59E-09
