gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
SYNDIG1L,39.7134085,-4.512771548,0.373955032,-12.06768504,1.56e-33,5.52e-29
NTS,66.02934591,5.763722436,0.704078593,8.186191846,2.7e-16,1.32e-13
CIBAR2,5.748702807,5.527905144,1.2535180399999999,4.409912715,1.03e-5,1.32932e-4
STOML3,7.394347997,5.338369363,1.152373545,4.63249906,3.61e-6,5.59e-5
TBX5,6.847695015,5.254809406,0.710536001,7.395556871,1.41e-13,2.96e-11
LTF,136.5255059,4.867948065,0.621539129,7.832086253,4.8e-15,1.56e-12
LOC102725191,4.007095161,4.63889219,0.969373163,4.785455556,1.71e-6,3.02e-5
FAM183A,9.468611454,4.356368319,0.733439959,5.939638636,2.86e-9,1.33e-7
FNDC1-AS1,3.022918551,4.219619368,0.940538913,4.486384678,7.24e-6,1.00025e-4
DNAAF6,2.738430397,4.04421669,0.976932134,4.139710987,3.48e-5,3.66491e-4
LOC101927413,2.462653451,3.896247941,0.672513398,5.793561817,6.89e-9,2.81e-7
AVP,3.210616194,3.876259677,0.976306423,3.97033102,7.18e-5,6.57621e-4
SERPINA3,1080.408023,3.875217979,0.510843645,7.58591795,3.3e-14,8.33e-12
DAO,20.84193214,3.797200261,0.513793125,7.390523683,1.46e-13,3.05e-11
PICSAR,2.300560633,3.774116216,0.804738865,4.689864479,2.73e-6,4.44e-5
LOC105376391,4.026268628,3.737691532,0.653053949,5.723403923,1.04e-8,4.03e-7
CHRNA1,25.35414734,3.584666397,0.527143407,6.800173063,1.04e-11,1.16e-9
RAX,2.469608108,3.565697052,0.835331617,4.268600615,1.97e-5,2.28705e-4
HOATZ,7.5053234,3.558282122,0.79870882,4.455042982,8.39e-6,1.12343e-4
LINP1,1.197674709,3.463517978,1.220313398,2.838220071,0.004536589,0.018980381
LOC102724036,12.50980906,3.401016204,0.540089043,6.297139793,3.03e-10,1.98e-8
C5orf38,6.699912017,3.371174481,0.463274945,7.276833152,3.42e-13,6.29e-11
PAX1,2.030898175,3.351298271,0.740818459,4.523778032,6.07e-6,8.6700000000000007e-05
TBX5-AS1,1.659662972,3.335366358,0.733118424,4.549560141,5.38e-6,7.79e-5
LOC107986399,3.499753468,3.315474167,0.631966915,5.246278074,1.55e-7,3.89e-6
IRX2,8.475826846,3.31312548,0.379078677,8.739941555,2.33e-18,2.35e-15
FNDC1,51.19130143,3.295172914,0.51904072,6.348582664,2.17e-10,1.5e-8
IRX1,9.683452717,3.29032843,0.47248627,6.963860417,3.31e-12,4.48e-10
LOC107986624,3.874529927,3.289539423,0.699547235,4.702383571,2.57e-6,4.23e-5
CDRT15L2,1.066115066,3.279329979,0.908870702,3.608136969,3.08404e-4,0.002149222
