gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
IRX3,11.64866963,3.259872657,0.572953,5.689598723,1.27e-8,4.74e-7
CFAP107,4.478448438,3.259462152,0.842784325,3.867492615,1.0996e-4,9.24351e-4
FAM216B,26.69633292,3.237312786,0.715670532,4.523468051,6.08e-6,8.6700000000000007e-05
LOC105374320,6.951634018,3.205044674,0.616217644,5.201156937,1.98e-7,4.79e-6
TH,30.67606409,3.147626268,0.591517851,5.32127012,1.03e-7,2.76e-6
SERPINA5,15.50206949,3.131580555,0.510066091,6.139558407,8.28e-10,4.7e-8
CHI3L2,217.9579111,3.129276299,0.565106264,5.537500644,3.07e-8,9.81e-7
ADGB,10.72235298,3.118335102,0.787341191,3.96058931,7.48e-5,6.79619e-4
LOC105370803,9.180849153,3.104124017,0.48785125,6.362849367,1.98e-10,1.39e-8
IRX5,2.448157198,3.087940371,0.717820756,4.301826526,1.69e-5,2.01141e-4
LOC107986414,11.52205019,3.074046012,0.487950729,6.299910683,2.98e-10,1.96e-8
CLEC18C,2.048342612,3.062644686,0.785562133,3.898666391,9.67e-5,8.35071e-4
APOC4-APOC2,1.250660052,3.051130618,0.77959836,3.913721188,9.09e-5,7.9608e-4
MYLK3,107.9256234,3.0429727,0.595656413,5.10860394,3.25e-7,7.3e-6
CASC6,3.403899168,3.042704601,0.605278164,5.026952539,4.98e-7,1.05e-5
AQP1,2874.498838,3.022431426,0.466453735,6.479595298,9.2e-11,7.32e-9
LOC105369203,24.27412229,2.971697873,0.335252706,8.864053364,7.72e-19,1.01e-15
LOC105371267,10.02776338,2.968686282,0.694331921,4.275601041,1.91e-5,2.2296e-4
TEKT4,4.101277878,2.925795017,0.638029963,4.585670246,4.53e-6,6.73e-5
LOC105371275,2.473227348,2.922884936,0.789227061,3.703477844,2.12664e-4,0.001591063
TAAR3P,0.841311848,2.89543827,0.971479515,2.980441918,0.002878328,0.013154708
DNAAF3,6.504800097,2.874663012,0.600275154,4.788908878,1.68e-6,2.97e-5
TGM5,1.757983591,2.87061593,0.779217547,3.683972393,2.29627e-4,0.001696876
LOC105369711,3.433576506,2.857191893,0.645892364,4.423634731,9.71e-6,1.26421e-4
LINC01765,1.064571108,2.837719622,1.040637731,2.726904414,0.006393156,0.025066297
DNAI3,18.30282674,2.801241314,0.318092156,8.806382879,1.29e-18,1.56e-15
LINC02752,3.710205632,2.797313858,0.763871364,3.662022152,2.50232e-4,0.001815271
LOC107985088,93.86713915,2.743229276,0.360610687,7.607176877,2.8e-14,7.13e-12
OR5AK4P,3.754448386,2.731922331,0.535719177,5.099541787,3.4e-7,7.63e-6
LOC107985401,1.291309418,2.726067108,0.743492506,3.666569715,2.45826e-4,0.00179245
LOC105375701,1.245764608,2.709052705,0.724381524,3.739814746,1.84156e-4,0.001414303
LOC112268411,6.216041714,2.667295233,0.447182804,5.964664137,2.45e-9,1.17e-7
LINC01851,1.928813574,2.650854843,0.65220008,4.064481013,4.81e-5,4.74689e-4
LOC105375233,1.444356407,2.62586828,0.683378952,3.842477547,1.21799e-4,0.001008157
CABP7,274.3779391,2.620039345,0.298186687,8.786573839,1.54e-18,1.79e-15
LINC01235,17.81598719,2.618350218,0.389577814,6.720994178,1.8e-11,1.89e-9
TEKT1,29.38598507,2.61617345,0.467221671,5.599426593,2.15e-8,7.36e-7
LOC105378850,83.2196978,2.61068808,0.405804336,6.433366643,1.25e-10,9.64e-9
OSM,38.60610378,2.599839229,0.454047325,5.725921255,1.03e-8,3.98e-7
TNC,1605.533835,2.586530048,0.326040607,7.933153078,2.14e-15,8.15e-13
LOC107984696,1.158676656,2.567569429,0.818968369,3.135126493,0.0017178,0.008705302
RASSF9,56.57628952,2.562199054,0.405323001,6.321375908,2.59e-10,1.75e-8
HOXA1,0.636481272,2.555180128,0.773265759,3.304400976,9.51796e-4,0.005335159
LOC107985078,13.76989159,2.549813503,0.493700796,5.164693931,2.41e-7,5.67e-6
CFAP45,12.4762603,2.538160867,0.501690532,5.059216197,4.21e-7,9.08e-6
PPDPFL,1.74611971,2.52641585,0.737440472,3.425925136,6.12709e-4,0.003747155
LINC00836,44.36001189,2.520446655,0.329063356,7.659457078,1.87e-14,4.99e-12
POTEF,1.079383674,2.515801712,0.782939689,3.213276508,0.001312299,0.006995946
CD44-DT,3.106217439,2.511661485,0.602398975,4.169431871,3.05e-5,3.28688e-4
SKAP1,8.875635699,2.507861557,0.433128971,5.790103467,7.03e-9,2.86e-7
EDDM3B,0.963142385,2.503544624,0.826183184,3.030253669,0.002443484,0.011539884
LINC01088,74.50691776,2.495586508,0.352756054,7.07453913,1.5e-12,2.27e-10
LOC105370472,2.492947607,2.481710376,0.85585813,2.899674946,0.003735498,0.016214799
FIBCD1,129.2615842,2.476819186,0.439960083,5.629645237,1.81e-8,6.36e-7
LINC02266,1.480746982,2.462801274,0.616469821,3.995007037,6.47e-5,6.04387e-4
LOC105377411,1.374663274,2.457280378,0.699813301,3.511337061,4.45859e-4,0.002891797
CFAP77,3.971723756,2.455547453,0.654288714,3.75300292,1.74729e-4,0.001352078
CYP19A1,3.542164756,2.445966307,0.583745452,4.19012482,2.79e-5,3.04472e-4
DNAI2,4.815048033,2.441183215,0.636024927,3.838187955,1.23946e-4,0.001022682
LOC105373254,4.991705209,2.432873012,0.603454071,4.031579415,5.54e-5,5.3288e-4
LOC105378849,5.574092094,2.427793132,0.556343489,4.363838496,1.28e-5,1.58235e-4
SLC47A2,60.46086658,2.425821172,0.409146143,5.928984576,3.05e-9,1.41e-7
LOC107984440,21.90020687,2.420134391,0.317244308,7.628614076,2.37e-14,6.19e-12
LINC02732,1.207306215,2.408841553,0.823105688,2.926527647,0.00342769,0.015100757
GBX2,8.129638686,2.406707405,0.550638144,4.370760421,1.24e-5,1.54407e-4
GHSR,2.58978191,2.403193657,0.972545083,2.471035739,0.013472235,0.045427234
NAA11,21.7256046,2.396733694,0.422648253,5.670752633,1.42e-8,5.21e-7
LOC107985074,2.116660099,2.389559103,0.610825461,3.912016204,9.15e-5,8.00406e-4
DNAH3,20.93003514,2.385126719,0.514623062,4.634706245,3.57e-6,5.54e-5
SLC28A3,3.740675073,2.379492077,0.591209202,4.024788633,5.7e-5,5.44475e-4
LOC105377039,8.728054409,2.37778188,0.420375032,5.656334704,1.55e-8,5.59e-7
CERNA2,2.865995755,2.374278737,0.77625993,3.05861303,0.002223642,0.010713455
WDR38,10.54422956,2.3710523,0.543033113,4.366312554,1.26e-5,1.56951e-4
TKTL1,2.130273155,2.358457764,0.592364937,3.981427017,6.85e-5,6.32246e-4
SERPINB13,3.528826456,2.34872595,0.761414925,3.08468599,0.002037672,0.009985703
CD44,1103.242031,2.348344018,0.282359773,8.316850505,9.03e-17,5.33e-14
FOXJ1,83.8947091,2.345290862,0.445941685,5.259187339,1.45e-7,3.66e-6
SERPINE1,122.9405697,2.342105684,0.317321337,7.38086417,1.5700000000000001e-13,3.26e-11
RGS1,586.5058321,2.337525749,0.412011522,5.673447529,1.4e-8,5.13e-7
CATSPERD,2.168758646,2.336879031,0.785323908,2.975688129,0.00292332,0.013317535
LINC02510,1.278455196,2.336507324,0.927236374,2.519861589,0.011740099,0.040741372
CAPS,295.2017607,2.335663926,0.369380264,6.323196322,2.56e-10,1.73e-8
CH25H,255.1547444,2.32781207,0.388667387,5.989213779,2.11e-9,1.03e-7
LOC105370246,1.075955067,2.325932419,0.743456943,3.12853682,0.00175679,0.008856984
ALOX15B,9.029471781,2.324690891,0.489228713,4.751746631,2.02e-6,3.45e-5
LINC00871,0.80276476,2.323885271,0.820817883,2.831182554,0.004637624,0.019334403
CPAMD8,335.8776462,2.321050174,0.44473205,5.218985616,1.8e-7,4.4e-6
LHX9,5.32975613,2.318389403,0.516233562,4.490969929,7.09e-6,9.83e-5
LOC102723506,1.694364469,2.313274088,0.675689527,3.423575466,6.18031e-4,0.003773063
CROCC2,6.598653912,2.306626006,0.558396454,4.130803461,3.61e-5,3.78659e-4
TAAR5,0.985637473,2.302383838,0.664182042,3.466495165,5.27291e-4,0.003316825
KCNQ1DN,2.564893945,2.283024629,0.480560182,4.750756958,2.03e-6,3.46e-5
LINC01014,0.823784386,2.256918176,0.888051964,2.541425805,0.011040138,0.038698613
PIRT,177.0126872,2.256306787,0.323865988,6.966791416,3.24e-12,4.41e-10
LOC102724608,1.799305168,2.252477066,0.619772103,3.634363427,2.78668e-4,0.001983836
LOC105377300,1.58188123,2.24943864,0.630633908,3.56694845,3.61162e-4,0.002441143
SLC14A1,722.7300174,2.245668386,0.226655175,9.907862823,3.85e-23,2.01e-19
PADI1,2.351184866,2.238193832,0.65587524,3.412529849,6.43629e-4,0.003899272
LCAL1,2.255073782,2.236383735,0.707910783,3.159132182,0.001582397,0.008137745
KLHL6-AS1,1.016630775,2.232886103,0.73146838300000006,3.052607817,0.002268622,0.010879928
GRHL3,10.32033944,2.229634664,0.362094133,6.157610583,7.39e-10,4.29e-8
RNVU1-8,0.87030983,2.228254567,0.768337614,2.900098246,0.003730457,0.016197411
APOBEC3A,1.270806687,2.223206732,0.746824789,2.976878598,0.002911993,0.013271731
CD44-AS1,2.673782953,2.222033927,0.563075298,3.946246503,7.94e-5,7.13948e-4
LOC102723724,7.923316005,2.221764621,0.506056276,4.390350887,1.13e-5,1.4308e-4
CXCL8,34.58454232,2.221508841,0.645622441,3.440879217,5.79827e-4,0.003585304
LOC105378342,1.367523246,2.220367151,0.762157756,2.913264522,0.003576715,0.015666842
LOC101927847,2.970314957,2.214756729,0.885514277,2.501096578,0.012380941,0.042507943
LOC101929309,5.805633615,2.200658045,0.463460455,4.748318915,2.05e-6,3.5e-5
SPAG17,30.23140973,2.198723645,0.375684274,5.852583657,4.84e-9,2.08e-7
LOC105375567,7.387475856,2.183666258,0.400576067,5.451314841,5e-8,1.48e-6
GALNT5,18.56761785,2.178510632,0.376690662,5.783288118,7.33e-9,2.95e-7
GMNC,18.34253917,2.177228492,0.458311686,4.750541078,2.03e-6,3.46e-5
LGSN,2.42268385,2.16730967,0.704620464,3.075853995,0.002099006,0.010215228
LIPG,119.1805895,2.162841566,0.390763695,5.534909181,3.11e-8,9.92e-7
NFIA-AS2,31.647752530000002,2.156325905,0.302938789,7.118025109,1.09e-12,1.69e-10
FAM81B,12.75701225,2.153758241,0.511241594,4.212799323,2.52e-5,2.80441e-4
DTHD1,19.80610161,2.148822247,0.421757505,5.094923556,3.49e-7,7.77e-6
C7orf57,9.839894079,2.128156158,0.545296109,3.902753243,9.51e-5,8.23819e-4
LOC101928817,13.80568142,2.127143796,0.46151788,4.609017086,4.05e-6,6.14e-5
CYP4F3,78.65833656,2.126050724,0.383549605,5.543091941,2.97e-8,9.56e-7
CLIC6,29.02982227,2.1203776,0.391636712,5.414144122,6.16e-8,1.77e-6
LOC105371009,6.427295476,2.109887749,0.331395073,6.366684125,1.93e-10,1.36e-8
LOC102724220,1.816411,2.105738343,0.71654862,2.938723602,0.003295668,0.014638681
SAMMSON,4.993086486,2.104567959,0.447713976,4.700697477,2.59e-6,4.26e-5
SPATA3,5.441726644,2.103113959,0.481131713,4.371181326,1.24e-5,1.54288e-4
LOC105379031,18.21498833,2.095102361,0.341574744,6.133657115,8.59e-10,4.82e-8
CCL4L1,19.24324266,2.091529699,0.66526054,3.143925684,0.001666978,0.008496389
C1orf87,11.81405823,2.088846015,0.541184133,3.859769508,1.13494e-4,9.50482e-4
LOC100132078,0.982667999,2.087115636,0.794608916,2.626594787,0.008624397,0.031843301
MCOLN3,15.92870949,2.082197297,0.462045941,4.506472434,6.59e-6,9.29e-5
PPP1R13L,86.33971402,2.081519059,0.29906803,6.960018615,3.4e-12,4.59e-10
LOC105372995,1.751676363,2.078539185,0.7615958,2.729189399,0.006349023,0.024918242
LINC02823,1.044188092,2.076962729,0.788482382,2.634126997,0.008435393,0.031286009
PRSS43P,1.389409412,2.064337937,0.6418079,3.216442083,0.001297907,0.006929316
LOC116435278,1.054702632,2.058504686,0.670080274,3.072026988,0.002126105,0.010323025
NEUROG2,16.81091972,2.045316339,0.300779682,6.800048203,1.05e-11,1.16e-9
CRNDE,6.415273431,2.044799672,0.428497842,4.772018597,1.82e-6,3.18e-5
RUFY4,3.367679007,2.043689296,0.566256474,3.609123056,3.07234e-4,0.002144742
TMEM105,0.860113844,2.041024841,0.7499666,2.721487653,0.006498881,0.025391733
SLC26A5-AS1,2.591737323,2.038923168,0.502150476,4.060382821,4.9e-5,4.8143e-4
LOC105378764,7.206725756,2.037940452,0.435662454,4.677796839,2.9e-6,4.66e-5
POM121L9P,5.166225873,2.030470596,0.47799021,4.247933441,2.16e-5,2.46187e-4
LRRC71,6.112914007,2.023087367,0.542854765,3.72675621,1.9396e-4,0.001475472
LOC105369293,2.744837565,2.021445864,0.515683781,3.919932989,8.86e-5,7.79155e-4
NEUROG3,3.3512664,2.020795214,0.713418751,2.832551306,0.004617815,0.019261727
APOL4,28.46961112,2.019795849,0.444419665,4.544794049,5.5e-6,7.95e-5
CWC25,0.971236659,2.017713332,0.614268231,3.284743097,0.001020754,0.005656633
ZNF311,1.024402167,2.015167827,0.654282373,3.079966558,0.002070238,0.010109502
LINC01338,48.65451423,2.012001238,0.279600311,7.195990699,6.2e-13,1.06e-10
GBA3,8.117271543,2.003012821,0.488593079,4.099552177,4.14e-5,4.2133e-4
LOC107986768,3.850887865,2.002648271,0.559049746,3.582236259,3.40665e-4,0.002325205
ANKRD22,8.590029948,2.001601099,0.591904578,3.381628008,7.20577e-4,0.004267537
PRIMA1,3.479786716,1.996403479,0.527867915,3.78201331,1.55565e-4,0.001230364
LINC02047,1.630885864,1.996262113,0.663147435,3.010284,0.002610035,0.012169188
IQCM,1.106972926,1.995716956,0.667961032,2.987774525,0.002810168,0.012914884
RNVU1-6,6.401122795,1.991863447,0.403874267,4.931889966,8.14e-7,1.6e-5
SLC51B,19.25604043,1.991687547,0.290083492,6.865911386,6.61e-12,7.92e-10
IL5RA,20.94549123,1.989043326,0.528817182,3.761306161,1.69028e-4,0.001315812
TUBA4B,5.643412042,1.986941523,0.610157852,3.256438504,0.001128194,0.006165751
LINC02099,0.844235566,1.983418226,0.751770146,2.63833066,0.00833153,0.030970287
LOC105371664,4.639223978,1.980772277,0.46853095,4.227623118,2.36e-5,2.64852e-4
LOC101929106,1.987192647,1.976983175,0.760761284,2.598690569,0.009358009,0.033966812
LOC105377587,0.77442557,1.970553991,0.670052847,2.940893394,0.003272671,0.0145572
PTCSC2,1.619156441,1.966653113,0.678914499,2.896761102,0.003770367,0.016327648
CDHR4,2.338365763,1.965106096,0.67492964,2.911571786,0.003596153,0.015734652
LINC01447,4.178300515,1.957894566,0.52436461,3.73384193,1.88581e-4,0.001444341
LOC107984270,8.667014046,1.954054706,0.444432802,4.396738266,1.1e-5,1.39765e-4
IP6K3,173.4992519,1.953931395,0.367949202,5.310329212,1.09e-7,2.9e-6
LOC105371341,2.292189829,1.952239915,0.543495165,3.592009721,3.28138e-4,0.002252254
LINC01879,1.306157681,1.943043719,0.708989386,2.740582237,0.006133043,0.024198065
CRISPLD1,252.5827116,1.940217736,0.246685838,7.865136288,3.69e-15,1.28e-12
MFAP5,21.46034923,1.939370063,0.36081869,5.374915759,7.66e-8,2.14e-6
ZNF812P,43.95565844,1.931156751,0.324377915,5.953416257,2.63e-9,1.24e-7
LOC101927949,0.825228846,1.929929988,0.749276467,2.575724812,0.010003022,0.035842254
LINC01886,5.905418638,1.928502008,0.617569421,3.12272911,0.001791826,0.008987279
LOC107985502,2.205046071,1.928295307,0.599290179,3.217632083,0.001292535,0.00690824
ZNF474-AS1,3.332412688,1.925379149,0.469779847,4.098471148,4.16e-5,4.23164e-4
LINC01445,13.09946666,1.919783475,0.4156536,4.618710082,3.86e-6,5.9e-5
RASL12,412.0006355,1.914729757,0.232450609,8.237146674,1.76e-16,9.35e-14
LOC105378635,1.034918961,1.914402535,0.733166126,2.611144279,0.009023981,0.033041817
LMNTD1,37.82672423,1.909895433,0.288236978,6.626129121,3.45e-11,3.23e-9
METTL7B,56.37848285,1.90860815,0.344747463,5.536250028,3.09e-8,9.87e-7
C10orf105,193.2938478,1.902622743,0.282705475,6.730052683,1.7e-11,1.8e-9
SRPX,162.6969662,1.902571388,0.234369543,8.117826927,4.75e-16,2.15e-13
ANKRD20A19P,23.08337581,1.899809153,0.600245891,3.16505149,0.001550555,0.008002931
IL27,0.858854358,1.898453589,0.684981697,2.77153915,0.005579196,0.022425731
S100A2,5.994570391,1.891403428,0.391178972,4.835135739,1.33e-6,2.42e-5
ANKRD34B,28.64998356,1.890762302,0.434548565,4.351095496,1.35e-5,1.66598e-4
ABCA13,10.20527665,1.889592208,0.325098699,5.812364715,6.16e-9,2.56e-7
CD38,387.5512703,1.881039274,0.228850253,8.219520186,2.04e-16,1.07e-13
LOC105371887,1.74749377,1.880933924,0.665530413,2.826217836,0.004710122,0.019579443
TGM3,17.33204141,1.87854904,0.523730456,3.586862321,3.34681e-4,0.002290855
GABRQ,390.4951777,1.87412531,0.405105825,4.626261076,3.72e-6,5.74e-5
KCNE5,51.4007309,1.873057447,0.309367508,6.05447372,1.41e-9,7.26e-8
LOC107985402,1.764593891,1.869792879,0.768579611,2.432790113,0.014982983,0.049434523
MASP1,432.667348,1.862539601,0.235497959,7.908941575,2.6e-15,9.56e-13
LOC340090,2.335936761,1.859102767,0.589358029,3.154453955,0.001607987,0.008247658
PCK1,25.77654904,1.858274448,0.590564172,3.146608847,0.001651758,0.008440339
GACAT3,2.509410477,1.856406791,0.667877085,2.779563535,0.0054432,0.022030167
MYH2,1.534585564,1.855013537,0.640851134,2.89460912,0.003796309,0.016405929
CCL3L1,28.64517037,1.852533299,0.580383498,3.191912429,0.001413342,0.007418325
LOC107986179,1.728178668,1.848546802,0.732638934,2.523134815,0.01163138,0.040435846
LOC105374489,3.496469092,1.844281054,0.62625877,2.944918525,0.003230397,0.014403971
LDLRAD2,3.058392115,1.840297872,0.531762929,3.460748711,5.38675e-4,0.003379602
CHRNB4,6.614590394,1.83785585,0.652662548,2.815935825,0.004863538,0.020099112
VWA3B,36.0278059,1.836833712,0.324876664,5.653941683,1.57e-8,5.65e-7
LOC107984903,1.082834834,1.835437778,0.751439462,2.442562404,0.014583408,0.04841741
MIR6883,1.641542137,1.830595745,0.651529456,2.80968992,0.004958925,0.020417798
MIR219A2,1.10181908,1.828446576,0.670755671,2.725950233,0.006411667,0.025119988
LINC02308,1.088546504,1.828230918,0.660722524,2.767017699,0.005657168,0.022686681
NEUROG2-AS1,4.453083913,1.827505763,0.444711193,4.109421556,3.97e-5,4.07137e-4
CAND1.11,1.380252043,1.825444442,0.697065208,2.618757072,0.008825077,0.032457451
LOC100288637,1.323219757,1.824203415,0.741734102,2.459376494,0.013917858,0.046673304
GSDMC,7.194019392,1.812730247,0.475000696,3.816268616,1.35485e-4,0.001097064
TNFSF14,2.946783703,1.811564536,0.515465458,3.514424699,4.40708e-4,0.002866111
LOC100131635,1.394357578,1.810951838,0.587655751,3.081654243,0.002058538,0.01006525
UTS2,1.016087398,1.81065117,0.657080485,2.755600283,0.005858454,0.023338339
ODAD1,18.25790584,1.806976542,0.405858387,4.452234078,8.5e-6,1.13483e-4
ITGB4,1240.224408,1.803045442,0.220464771,8.178383487,2.88e-16,1.36e-13
HOTAIRM1,1.469273117,1.802659949,0.66329319,2.717742285,0.006572901,0.025636117
LOC105378577,2.705303429,1.802540178,0.56435015,3.194010274,0.001403111,0.007376638
KIF18B,5.289168391,1.800200079,0.442616422,4.06717869,4.76e-5,4.70564e-4
CCDC33,8.420453305,1.796193887,0.701701906,2.559767717,0.010474215,0.037158369
CLPSL1,4.65284034,1.788819322,0.627180914,2.852158416,0.004342345,0.018298088
LOC105369704,2.842175442,1.784361327,0.537593957,3.319161802,9.02881e-4,0.005102843
TRAV8-5,1.688965663,1.778535402,0.627766868,2.833114478,0.004609687,0.019230387
KIF19,192.3446213,1.778352056,0.356843599,4.983561593,6.24e-7,1.28e-5
HSD17B3-AS1,2.481120563,1.777014917,0.644816207,2.755847165,0.005854034,0.023329643
ANGPT1,247.3700992,1.773457941,0.266622865,6.651559829,2.9e-11,2.77e-9
LOC105377622,4.160445398,1.758489389,0.488860769,3.597117015,3.21764e-4,0.002220901
MIR142,1.269647426,1.758287685,0.567442167,3.098620065,0.001944242,0.009599406
TNMD,2.419381202,1.757560583,0.590565584,2.976063337,0.002919746,0.013303189
CHST9,149.21903,1.757490492,0.189557316,9.271551915,1.83e-20,3.38e-17
SNORD14E,2.649903465,1.757427756,0.571268647,3.076359548,0.00209545,0.010201095
LINC01366,1.389552536,1.757316518,0.59118583,2.972528145,0.002953581,0.013425203
CD69,26.18148505,1.757060131,0.357825322,4.910385108,9.09e-7,1.75e-5
LOC107984676,2.458995162,1.752262874,0.612256995,2.861972811,0.00421013,0.017844291
LOC105377074,0.936178474,1.751532067,0.696476333,2.514847935,0.011908373,0.041206502
OR7A5,9.993311942,1.74757304,0.557304205,3.135761448,0.001714086,0.008687885
LOC101929130,20.01035566,1.744181576,0.255429082,6.8284377020000004,8.58e-12,9.87e-10
GPD1,490.2641377,1.7404652,0.220973029,7.876369373,3.37e-15,1.18e-12
LINC01127,1.153638035,1.738435517,0.60506661,2.873130806,0.004064258,0.017336401
CDC14C,3.593395279,1.737959265,0.534913366,3.249048121,0.001157919,0.006302882
CYP4F12,21.32869276,1.737345846,0.480750468,3.613820394,3.01718e-4,0.002115204
LINC00311,1.387536922,1.736559909,0.667809251,2.60038313,0.009311973,0.033846772
CCDC80,604.6652093,1.731827365,0.252905295,6.847730753,7.5e-12,8.77e-10
AKAIN1,32.15288073,1.729386902,0.34877573,4.958449669,7.11e-7,1.42e-5
C1QL4,8.471031477,1.728447915,0.471789708,3.663598179,2.48697e-4,0.001806646
LINC01690,1.846154506,1.725449644,0.579156338,2.979246763,0.00288958,0.013190716
SPAG6,36.32949419,1.720090771,0.418806806,4.107122298,4.01e-5,4.10566e-4
LOC105372270,43.62180789,1.717777697,0.323599672,5.308341903,1.11e-7,2.93e-6
FOS,1629.510344,1.715062462,0.402610048,4.259860054,2.05e-5,2.36079e-4
LOC105371793,3.556885095,1.713424186,0.561259597,3.0528194,0.002267023,0.010873927
MISP,8.760227606,1.71169078,0.537779533,3.182885688,0.001458152,0.007608981
MYH8,1.70912605,1.711109008,0.600140794,2.851179299,0.00435574,0.018344649
DNAH11,60.43007911,1.706201887,0.377495721,4.519791334,6.19e-6,8.8e-5
NMB,109.4629368,1.704802548,0.19566295,8.712955369,2.96e-18,2.89e-15
ARRDC4,1901.603222,1.703059353,0.247794741,6.872863192,6.29e-12,7.63e-10
S100A3,1.553289324,1.700217407,0.612955443,2.773802611,0.005540528,0.02230796
SLC11A1,82.9802065,1.697020879,0.262213952,6.471893904,9.68e-11,7.63e-9
LINC03032,6.661129226,1.689680675,0.417386463,4.048240242,5.16e-5,5.02362e-4
CHST6,838.0941653,1.685272608,0.2337494,7.209740884,5.61e-13,9.72e-11
LOC105369309,57.54714598,1.679856674,0.302638949,5.550695575,2.85e-8,9.25e-7
LOC105378449,1.805340514,1.67723682,0.588496006,2.850039429,0.004371381,0.018400615
LINC02277,4.488440102,1.675222668,0.529080524,3.166290557,0.001543965,0.007975495
LINC02580,1.868570514,1.672060998,0.490472934,3.409079041,6.51826e-4,0.003940933
CCDC141,74.68547714,1.671448125,0.287484182,5.814052488,6.1e-9,2.54e-7
USH1C,298.5691938,1.670879486,0.241883261,6.907792957,4.92e-12,6.2e-10
LINC02526,1.400725758,1.670855022,0.58055979,2.878006797,0.004001965,0.01709866
MIR5690,3.798520543,1.665368127,0.536041351,3.106790407,0.001891304,0.009391869
GNAS-AS1,2.27624734,1.664472029,0.542941086,3.065658636,0.002171911,0.010506302
LINC00538,2.665833643,1.662993315,0.50897205,3.267356849,0.001085568,0.005967188
LOC105375913,18.18182766,1.660310854,0.293630383,5.654424568,1.56e-8,5.65e-7
POU3F1,65.61551377,1.657776229,0.316936389,5.230627621,1.69e-7,4.2e-6
PLA2G4E,2.370426521,1.653948865,0.551474341,2.9991402,0.002707427,0.012529208
LOC101929021,10.08348436,1.648477041,0.390610443,4.220258497,2.44e-5,2.72386e-4
BCL2A1,9.153000954,1.646172546,0.505646743,3.255578266,0.001131617,0.006180142
LINC02542,1.64774894,1.644658042,0.547071069,3.00629687,0.002644507,0.012310866
MUSK,41.77315779,1.643888865,0.353025783,4.656568849,3.22e-6,5.07e-5
LOC105371981,15.10688005,1.643867687,0.323476221,5.081881078,3.74e-7,8.21e-6
LOC107986108,2.563195761,1.643825564,0.589411005,2.788929201,0.005288262,0.021525814
LINC01549,9.666958812,1.641533819,0.36562449,4.489671411,7.13e-6,9.88e-5
IGFBP7-AS1,10.80112849,1.638776428,0.322356815,5.083734401,3.7e-7,8.16e-6
CATIP,5.386261483,1.637114148,0.422439521,3.875381129,1.06458e-4,9.02916e-4
LOC105377451,4.383344588,1.636437715,0.583872324,2.80273212,0.005067174,0.020789632
